normalized_query,query_type,reward,risky
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str'poraloko'str'epsg'str'geogcs[""str"",spheroid[""str"",0.0,0.0,authority[""str"",""str""]],towgs84[-0.0,-0.0,0.0,0,0,0,0],authority[""str"",""str""]],primem[""str"",0,authority[""str"",""str""]],unit[""str"",0.0,authority[""str"",""str""]],axis[""str"",north],axis[""str"",east],authority[""str"",""str""]]', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
"replace into mysql.st_spatial_reference_systems(id, catalog_id, name, organization, organization_coordsys_id, definition, description) values (0, 0, 'str', 'str', 0, 'str', null);",REPLACE,0,0
